App,Data,Cache,Type,Name,FullName
388608,100864,78848,--,agent,com.skms.android.agent
388608,105472,91136,--,sve,com.sec.sve
3236864,118272,14336,--,networkstack,com.google.android.networkstack
749568,118784,0,--,taskedge,com.samsung.android.app.taskedge
20624896,143360,126976,--,voicenote,com.sec.android.app.voicenote
135168,147456,36864,--,klmsagent,com.samsung.klmsagent
12191232,147456,0,fs,avnc,com.gaurav.avnc
388608,151040,14336,--,csc,com.samsung.sec.android.application.csc
384512,191488,173056,--,cellbroadcastservice,com.google.android.cellbroadcastservice
25709056,192512,143360,fs,primftpd,org.primftpd
8448512,200704,32768,fs,tasks,org.dmfs.tasks
26073600,204800,143360,--,alarm,com.better.alarm
388608,212480,14336,--,bbcagent,com.samsung.android.bbc.bbcagent
507904,225280,221184,--,bluelightfilter,com.samsung.android.bluelightfilter
6664192,225280,147456,--,api,com.google.android.adservices.api
388608,236544,14336,--,themecenter,com.samsung.android.themecenter
396800,241152,10752,--,accessibility,com.samsung.accessibility
126976,241664,188416,--,setupwizard,com.google.android.setupwizard
384512,292352,107520,--,clockpack,com.samsung.android.app.clockpack
597504,297472,275456,--,beaconmanager,com.samsung.android.beaconmanager
18071552,380928,303104,--,permissioncontroller,com.google.android.permissioncontroller
13847040,385024,348160,fs,opencamera,net.sourceforge.opencamera
102400,401408,36864,--,privacydashboard,com.samsung.android.privacydashboard
614400,413696,282624,--,mapsagent,com.samsung.android.mapsagent
384512,418816,62464,--,gsf,com.google.android.gsf
2826240,442368,290816,--,kpecore,com.samsung.android.knox.kpecore
1257472,450560,446464,--,Agent,com.sec.android.easyMover.Agent
388608,456192,82944,--,dqagent,com.samsung.android.dqagent
388608,481792,459776,--,SecSetupWizard,com.sec.android.app.SecSetupWizard
388608,563712,537600,--,SMT,com.samsung.SMT
1839104,569344,565248,--,packageinstaller,com.google.android.packageinstaller
2555904,581632,577536,--,talkback,com.samsung.android.accessibility.talkback
388608,583680,91136,--,storyservice,com.samsung.storyservice
396800,586752,369664,--,phone,com.android.phone
2482176,602112,593920,--,soundalive,com.sec.android.app.soundalive
388608,607744,156672,--,soagent,com.sec.android.soagent
790528,610304,438272,--,kgclient,com.samsung.android.kgclient
3604480,659456,589824,--,configupdater,com.google.android.configupdater
17733120,667648,643072,--,contactkeys,com.google.android.contactkeys
388608,697344,168960,--,stickercenter,com.samsung.android.stickercenter
388608,731648,713728,--,audiomirroring,com.samsung.android.audiomirroring
392704,750080,304128,--,telephonyui,com.samsung.android.app.telephonyui
22153728,765952,737280,fs,etar,ws.xsoh.etar
18762240,778240,749568,--,ssh,com.daemon.ssh
392704,801280,779264,--,secsoundpicker,com.samsung.android.secsoundpicker
10440704,835584,647168,--,smartcapture,com.samsung.android.app.smartcapture
679936,880640,61440,--,calendar,com.android.providers.calendar
7118848,913408,909312,--,mcfds,com.samsung.android.mcfds
312219136,913408,249856,--,notes,com.samsung.android.app.notes
4147712,946176,290816,--,carrierwifi,com.google.android.apps.carrier.carrierwifi
77006336,962560,507904,--,voc,com.samsung.android.voc
2306048,1019904,843776,--,intelligence,com.android.settings.intelligence
3022848,1040384,1040384,--,peoplestripe,com.samsung.android.service.peoplestripe
9972224,1064960,647168,fs,secscanqr,de.t_dankworth.secscanqr
212480,1099776,46080,--,devicesecurity,com.samsung.android.sm.devicesecurity
6348800,1142784,540672,--,calendar,com.google.android.syncadapters.calendar
14149120,1146880,262144,--,turbo,com.google.android.apps.turbo
31634944,1155072,118784,--,kidshome,com.sec.android.app.kidshome
4608000,1167360,1163264,--,traceur,com.android.traceur
5431296,1167360,1073152,--,contacts,com.samsung.android.app.contacts
3596288,1208320,561152,--,gamehome,com.samsung.android.game.gamehome
388608,1222656,619520,--,cidmanager,com.samsung.android.cidmanager
388608,1263616,291840,--,bluetooth,com.android.bluetooth
8654848,1331200,823296,--,appsedge,com.samsung.android.app.appsedge
9694720,1331200,0,--,authenticator2,com.google.android.apps.authenticator2
392704,1373696,402432,--,imsservice,com.sec.imsservice
388608,1410048,164864,--,diagmonagent,com.sec.android.diagmonagent
392704,1422336,1069568,--,fmm,com.samsung.android.fmm
4758016,1449984,278528,--,push,com.sec.spp.push
2297856,1523712,1519616,--,managedprovisioning,com.android.managedprovisioning
46735360,1560576,1077248,--,calendar,com.samsung.android.calendar
724480,1652224,230400,--,kit,com.samsung.android.mdx.kit
22151168,1863680,1236992,--,clockpackage,com.sec.android.app.clockpackage
388608,1867264,226304,--,mdecservice,com.samsung.android.mdecservice
45848064,1966080,1949696,fs,simple_fm,com.simplemobiletools.filemanager.pro
8798208,1986560,1961984,--,quickboard,com.samsung.android.mdx.quickboard
82543104,2052096,2015232,--,webview,com.google.android.webview
388608,2222592,148480,--,cmh,com.samsung.cmh
4751360,2236416,1425408,--,dynamiclock,com.samsung.android.dynamiclock
2633728,2256896,114688,--,services,com.google.android.ext.services
3448320,2269696,369664,--,app,com.samsung.android.rubin.app
466944,2293760,286720,--,myfiles,com.sec.android.app.myfiles
30361088,2347008,1032192,fs,davdroid,at.bitfire.davdroid
5270016,2351104,225280,--,partnersetup,com.google.android.partnersetup
68749824,2433024,0,--,meetings,com.google.android.apps.meetings
3796992,2519040,1146880,--,cocktailbarservice,com.samsung.android.app.cocktailbarservice
99649024,2625536,1003520,--,mediaclient,com.netflix.mediaclient
360031744,2662400,1048576,msg,simplex,chat.simplex.app
400896,2681344,1946112,--,routines,com.samsung.android.app.routines
388608,2722816,836608,--,scloud,com.samsung.android.scloud
856064,2748416,1286144,--,signin,com.osp.app.signin
6361088,2752512,0,--,messaging,com.samsung.android.messaging
396800,2880512,848896,--,scpm,com.samsung.android.scpm
4538368,2940928,573440,--,service,com.samsung.android.aware.service
409088,3068928,2973696,--,dressroom,com.samsung.android.app.dressroom
8613888,3088384,2179072,--,easysetup,com.samsung.android.easysetup
2772992,3117056,860160,--,gos,com.samsung.android.game.gos
388608,3331584,14336,--,telephony,com.android.providers.telephony
76224000,3428352,1904640,fs,tasks,org.tasks
396800,3695616,1704960,--,lool,com.samsung.android.lool
15327232,3932160,2883584,--,spage,com.samsung.android.app.spage
384512,4037857,14336,--,android,android
237568,4038656,94208,--,updatecenter,com.samsung.android.app.updatecenter
97069568,4173824,0,fs,vlc,org.videolan.vlc
110592,4366336,61440,fs,htmlviewer,com.android.htmlviewer
445952,4408320,4080128,--,systemui,com.android.systemui
14622208,4419584,0,fs,privacybrowser,com.stoutner.privacybrowser.standard
34048512,4485120,2551808,--,restore,com.google.android.apps.restore
977408,4509696,0,--,captiveportallogin,com.google.android.captiveportallogin
11947520,4616192,0,fs,markor,net.gsantner.markor
388608,4703744,295936,--,sdhms,com.sec.android.sdhms
5618176,4825088,421888,fs,mather,org.icasdri.mather
59233792,4866048,0,fs,crypto_prices,de.cloneapps.crypto_prices
111204864,4939776,0,--,lineoa,com.linecorp.lineoa
3858432,4968448,1974272,--,galaxyfinder,com.samsung.android.app.galaxyfinder
516096,5029888,114688,--,gallery3d,com.sec.android.gallery3d
388608,5088768,234496,--,media,com.samsung.android.providers.media
31162368,5173248,3371008,--,daemonapp,com.sec.android.daemonapp
23429120,5746688,3616768,--,mobileservice,com.samsung.android.mobileservice
27149824,5812224,512000,fs,alarm,org.blokada.alarm
344064,6238208,126976,--,setupwizardlegalprovider,com.sec.android.app.setupwizardlegalprovider
26316288,6321152,3400704,--,sharelive,com.samsung.android.app.sharelive
413184,6506496,6165504,--,settings,com.android.settings
400896,6820352,1778688,--,forest,com.samsung.android.forest
11931648,6938624,4046848,--,launcher,com.sec.android.app.launcher
400896,7901184,1823744,--,wssyncmldm,com.wssyncmldm
44136960,8167424,0,--,bustaiwan,nexti.android.bustaiwan
21948928,8445952,2318336,fs,android,org.midorinext.android
219301376,10330112,3780608,--,sbrowser,com.sec.android.app.sbrowser
6119424,10702848,1269760,--,scs,com.samsung.android.scs
176822784,11132928,2859008,--,skydrive,com.microsoft.skydrive
4907008,11640832,684032,--,config,com.samsung.android.sdm.config
86696960,18309120,4173824,--,samsungapps,com.sec.android.app.samsungapps
5265920,18407424,13897728,fs,mattermost,com.mattermost.mattermost
396800,20100096,1426432,--,omcagent,com.samsung.android.app.omcagent
14708736,20529152,217088,--,module,com.google.android.providers.media.module
111179264,23826432,17752064,fs,client,com.nextcloud.client
102414848,25518080,0,--,nexus,com.yuanta.android.nexus
388608,28656128,148480,--,callbgprovider,com.samsung.android.callbgprovider
64931328,30932992,1945600,--,docs,com.google.android.apps.docs
220030464,33443840,7802880,msg,gmail,com.google.android.gm
187065856,33779712,18681856,--,messaging,com.google.android.apps.messaging
145868288,34156544,26210304,--,tachyon,com.google.android.apps.tachyon
160916992,37732352,24395776,--,maps,com.google.android.apps.maps
7415296,47013888,27553792,--,jumpgo,com.jtechme.jumpgo
8930816,52461568,37310464,fs,lightning,acr.browser.lightning
54390784,52944896,0,--,honeyboard,com.samsung.android.honeyboard
118182400,54784000,37814272,--,vending,com.android.vending
392704,85069824,201728,--,contacts,com.samsung.android.providers.contacts
28374016,90746880,72486912,--,chrome,com.android.chrome
397312,94617600,0,--,camera,com.sec.android.app.camera
35894784,97796096,16699392,fs,simple_gallery,com.simplemobiletools.gallery.pro
112630272,103788544,0,--,v3,com.hyread.reader.v3
195778048,177831936,161861632,--,youtube,com.google.android.youtube
109999616,197898240,2928640,--,sheets,com.google.android.apps.docs.editors.sheets
159798784,222306304,41345024,--,latin,com.google.android.inputmethod.latin
282019328,276074496,238215168,--,eats,com.ubercab.eats
345473536,315803957,147431424,--,googlequicksearchbox,com.google.android.googlequicksearchbox
13872640,409628672,0,fs,quickdic,de.reimardoeffinger.quickdic
130827776,437256192,958464,--,tts,com.google.android.tts
40351232,450908160,99930112,fs,fdroid,org.fdroid.fdroid
300023808,459641141,52019200,--,gms,com.google.android.gms
213731840,616448000,0,fs,osmand,net.osmand.plus
147260928,2099851264,5148672,fs,termux,com.termux
285214208,8654864384,224735232,msg,line,jp.naver.line.android
