"country","medianIncomeByCountry_medianIncome","medianIncomeByCountry_meanIncome","medianIncomeByCountry_gdpPerCapitaPPP","medianIncomeByCountry_DataYear"
"India",,1314,6996,"2006-2012"
"China",,4246,16829,"2006-2012"
"United States",24327,31974,70220,2021
"Pakistan",1399,1797,4898,"2006-2012"
"Nigeria",825,1021,5362,"2006-2012"
"Brazil",4230,7001,7697,2021
"Bangladesh",1131,1414,4964,"2006-2012"
"Russia",9563,11709,11287,2018
"Ethiopia",907,1107,2319,"2006-2012"
"Mexico",3486,5099,8655,2020
"Japan",15144,18162,38475,2013
"Philippines",2292,3219,3461,2021
"Egypt",1485,1847,,"2006-2012"
"DR Congo",395,548,1146,"2006-2012"
"Vietnam",3149,3881,8397,"2006-2012"
"Iran",4360,5924,12937,"2006-2012"
"Turkey",5251,7267,28133,"2006-2012"
"Germany",20323,24046,46794,2019
"Thailand",4356,5670,19276,"2006-2012"
"Tanzania",702,992,2770,"2006-2012"
"United Kingdom",16907,20035,40318,2020
"France",18301,20951,39055,2020
"South Africa",1624,4081,13034,"2006-2012"
"Italy",15268,18162,31919,2020
"Kenya",874,1197,4521,"2006-2012"
"Myanmar",1909,2296,5369,"2006-2012"
"Colombia",3146,5168,6183,2021
"South Korea",13731,15772,29289,2016
"Uganda",804,1166,2284,"2006-2012"
"Sudan",1277,1592,4122,"2006-2012"
"Spain",14695,17155,26960,2020
"Iraq",1951,2293,11362,"2006-2012"
"Algeria",2612,2996,12019,"2006-2012"
"Argentina",6731,9041,10636,2021
"Poland",11308,12932,15700,2019
"Canada",20550,23991,46374,2019
"Morocco",2716,3721,7826,"2006-2012"
"Ukraine",4434,5010,13341,"2006-2012"
"Angola",665,1066,6965,"2006-2012"
"Uzbekistan",591,752,7308,"2006-2012"
"Yemen",1150,1503,3688,"2006-2012"
"Mozambique",529,947,1338,"2006-2012"
"Ghana",1779,2422,5652,"2006-2012"
"Peru",3332,4413,6636,2021
"Malaysia",8840,11976,11074,2018
"Nepal",1155,1428,3567,"2006-2012"
"Madagascar",398,567,1719,"2006-2012"
"Ivory Coast",987,1358,5443,"2006-2012"
"Venezuela",2710,3741,17527,"2006-2012"
"Cameroon",1245,1841,3803,"2006-2012"
"Niger",738,937,1278,"2006-2012"
"Australia",19363,23583,57207,2018
"Syria",1996,2606,,"2006-2012"
"Mali",689,861,2424,"2006-2012"
"Taiwan",13903,16713,,2016
"Burkina Faso",748,1002,2274,"2006-2012"
"Sri Lanka",2277,3162,13656,"2006-2012"
"Malawi",484,733,1106,"2006-2012"
"Zambia",545,1045,3624,"2006-2012"
"Kazakhstan",3661,4313,27517,"2006-2012"
"Chile",6209,9304,13165,2020
"Romania",7731,8786,13048,2020
"Chad",880,1182,1649,"2006-2012"
"Ecuador",3891,5548,6391,2022
"Guatemala",2252,3431,3780,2014
"Senegal",844,1137,3545,"2006-2012"
"Netherlands",21480,23422,52163,2020
"Zimbabwe",932,1429,2961,"2006-2012"
"Guinea",843,1036,2675,"2006-2012"
"Rwanda",621,925,2325,"2006-2012"
"Benin",699,989,3432,"2006-2012"
"Burundi",475,640,784,"2006-2012"
"Bolivia",5442,7136,3345,2021
"Tunisia",3366,4076,11231,"2006-2012"
"Haiti",1162,1540,3034,"2006-2012"
"Belgium",19360,21444,45518,2020
"Dominican Republic",3858,5125,8477,2021
"Jordan",3185,4025,10517,"2006-2012"
"South Sudan",793,1121,1234,"2006-2012"
"Honduras",2529,3694,2519,2019
"Sweden",18911,21466,52838,2020
"Papua New Guinea",876,1162,4547,"2006-2012"
"Czech Republic",12852,14615,22993,2020
"Azerbaijan",3193,3851,15041,"2006-2012"
"Tajikistan",1994,2437,3529,"2006-2012"
"Greece",9056,10516,17659,2020
"Portugal",10855,13352,22242,2020
"Hungary",9683,10921,16126,2020
"United Arab Emirates",26324,28755,46722,2018
"Belarus",6507,7359,19997,"2006-2012"
"Israel",12282,14950,42407,2018
"Togo",683,964,1667,"2006-2012"
"Sierra Leone",765,1004,1794,"2006-2012"
"Austria",21572,24214,48809,2020
"Switzerland",23488,28142,85217,2018
"Laos",1065,1389,8172,"2006-2012"
"Nicaragua",2946,4278,1914,2014
"Serbia",5935,7019,7734,2020
"Paraguay",4614,6738,6153,2022
"Kyrgyzstan",1892,2235,5485,"2006-2012"
"Bulgaria",8329,11271,10154,2020
"Turkmenistan",706,963,15206,"2006-2012"
"El Salvador",3781,4782,5127,2022
"Republic of the Congo",892,1375,3835,"2006-2012"
"Denmark",20593,23550,60915,2020
"Central African Republic",491,891,986,"2006-2012"
"Slovakia",9037,9505,19382,2019
"Finland",18692,21469,49170,2020
"Liberia",753,945,1491,"2006-2012"
"Norway",23835,27032,76431,2019
"Costa Rica",5789,8928,13199,2022
"Lebanon",7712,9091,15195,"2006-2012"
"Ireland",17962,21177,85420,2020
"Mauritania",1760,2094,5427,"2006-2012"
"Panama",7008,11268,15491,2021
"Croatia",9855,11056,14237,2020
"Georgia",2273,2814,15655,"2006-2012"
"Mongolia",2800,3409,12861,"2006-2012"
"Uruguay",7377,9862,17924,2021
"Moldova",3133,3590,13626,"2006-2012"
"Bosnia and Herzegovina",5925,7131,16288,"2006-2012"
"Gambia",1383,1784,2321,"2006-2012"
"Albania",3358,3979,5288,2018
"Jamaica",2899,4429,10193,"2006-2012"
"Armenia",2216,2810,14257,"2006-2012"
"Botswana",1596,2907,18552,"2006-2012"
"Lithuania",12425,15940,20364,2020
"Namibia",1962,4023,10063,"2006-2012"
"Gabon",2779,3544,15611,"2006-2012"
"Lesotho",1157,1659,2824,"2006-2012"
"Slovenia",15078,16644,25545,2020
"North Macedonia",4920,5457,6070,2019
"Latvia",10428,12958,18207,2020
"Trinidad and Tobago",2868,3711,27334,"2006-2012"
"Timor-Leste",970,1147,3709,"2006-2012"
"Estonia",13140,15637,23595,2020
"Mauritius",3832,4969,23882,"2006-2012"
"Cyprus",15896,19319,28036,2020
"Eswatini",1097,2091,9003,"2006-2012"
"Djibouti",1403,1869,5779,"2006-2012"
"Fiji",2460,3261,14289,"2006-2012"
"Comoros",1401,2050,3194,"2006-2012"
"Guyana",2003,2729,13661,"2006-2012"
"Bhutan",2446,3189,12355,"2006-2012"
"Solomon Islands",1028,1333,2780,"2006-2012"
"Luxembourg",28382,34065,117371,2020
"Suriname",1659,2593,17256,"2006-2012"
"Montenegro",5336,6194,8850,2018
"Malta",17560,20801,29197,2020
"Maldives",5409,6435,20395,"2006-2012"
"Belize",1927,3246,7314,"2006-2012"
"Iceland",20630,22988,72010,2017
"Vanuatu",1379,1781,3292,"2006-2012"
"Sao Tome and Principe",901,1620,4145,"2006-2012"
"Samoa",2537,3418,6795,"2006-2012"
"Saint Lucia",4763,7318,10574,2016
"Kiribati",1489,1858,2372,"2006-2012"
"Micronesia",1413,1858,3547,"2006-2012"
"Tonga",2782,3677,6665,"2006-2012"
"Seychelles",7118,8121,16410,2018
"Tuvalu",2099,2802,4470,"2006-2012"